Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
2024-02-22,0.74,0.74,0.74,0.74,0.09,13.85,5000,3700,0.65,0.39,0.37,75.13,0.12,0.1,0.09,0.01,1387931.800000012,0.6817348729651744,0.6432277668465484,0.5664895733716584,0.4467963600857699,0.63355328,0.62698616,-0.0014664029487576,0.0417733878818851,0.0414862761779322,0.1636907238093382,Sell,Sell,Sell,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-02-25,0.69,0.68,0.69,0.68,-0.05,-6.76,3150000,2168500,0.66,0.4,0.37,67.25,0.53,0.09,0.09,0.01,-1723248.0,0.6844899153101163,0.651731809238085,0.5782524711457862,0.4563337577294651,0.6420690176,0.6315067136,0.9238474050446088,0.0435909253781131,0.0404007700696754,0.1685642855629492,Sell,Sell,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell,Monitor-Monitor,Sell,Sell,Sell,Monitor-Monitor,Monitor-Monitor
2024-02-27,0.69,0.69,0.69,0.69,0.0,0.0,5000,3450,0.66,0.41,0.37,67.25,0.53,0.09,0.09,0.0,-1684427.800000012,0.6863266102067442,0.6586896621038878,0.5888950929414256,0.46549713977929,0.649903496192,0.635846445056,0.0,0.0393636769602719,0.0408792259113559,0.1731651329376287,Sell,Sell,Hold,Hold,Hold,Sell,Sell,Hold,Buy,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Buy,Buy,Buy,Monitor-Monitor,Monitor-Monitor
2024-03-14,0.65,0.65,0.65,0.65,-0.04,-5.8,1000000,650000,0.67,0.41,0.37,61.28,0.56,0.08,0.09,-0.0,-2695607.600000024,0.6742177401378295,0.6571097235395446,0.5947146078993851,0.4727325460624552,0.74,0.64001258725376,0.2906001881926912,0.039423847488532,0.0383115880351929,0.1760616775045461,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell,Sell,Sell,Monitor-Monitor,Monitor-Monitor
2024-03-17,0.59,0.59,0.59,0.59,-0.06,-9.23,200000,118000,0.66,0.42,0.38,53.6,0.57,0.07,0.09,-0.01,-2883150.350000024,0.6461451600918864,0.6449079556232638,0.5942655976232533,0.4773312697462805,0.74,0.74,0.0579516300924343,0.041325534497895,0.0432563418600287,0.177281167203114,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Sell,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor
2024-03-18,0.6,0.6,0.6,0.6,0.01,1.69,1000000,600000,0.66,0.42,0.38,54.62,0.58,0.07,0.08,-0.02,-1853443.100000024,0.6307634400612576,0.6367428727826704,0.5948117311829435,0.4821418081876029,0.59,0.74,-0.2895903281463829,0.0384898986551059,0.0473755680118455,0.1785210214569738,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy,Sell-Monitor,Monitor-Monitor,Monitor-Monitor
2024-03-19,0.6,0.6,0.6,0.6,0.0,0.0,178292,106975,0.66,0.43,0.38,54.62,0.53,0.06,0.08,-0.02,-1751001.050000012,0.6205089600408384,0.6300623504585485,0.5953058520226632,0.4867636980625989,0.59,0.59,0.0,0.0350710102386195,0.0496207841758147,0.179443584449265,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy,Monitor-Monitor,Monitor-Monitor
2024-03-24,0.51,0.51,0.51,0.51,-0.09,-15.0,500000,255000,0.64,0.43,0.38,44.42,0.49,0.04,0.07,-0.03,-2087278.600000024,0.5836726400272256,0.6082328321933579,0.587181485163362,0.4876749255895558,0.59,0.59,0.1452156946799343,0.0398666803978354,0.0655659125528611,0.1787951741119283,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell,Sell,Sell,Monitor-Monitor,Monitor-Monitor
2024-03-25,0.51,0.51,0.51,0.51,0.0,0.0,50000,25500,0.62,0.44,0.38,44.42,0.53,0.03,0.06,-0.03,-1923556.149999976,0.5591150933514838,0.590372317249111,0.5798308675287561,0.4885504187036909,0.51,0.51,0.0,0.0364404532854017,0.0758727004044749,0.1780433334091143,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy,Buy,Buy,Monitor-Monitor,Monitor-Monitor
2024-03-26,0.51,0.51,0.51,0.51,0.0,0.0,897256,457601,0.61,0.44,0.38,44.42,0.51,0.02,0.06,-0.03,-1779746.449999988,0.5427433955676559,0.5757591686583635,0.5731803087164936,0.4893915787545266,0.51,0.51,0.0,0.0333534862539067,0.0829256695280008,0.1770165448280403,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-03-31,0.53,0.53,0.53,0.53,0.02,3.92,200000,106000,0.59,0.45,0.38,47.16,0.56,0.02,0.05,-0.03,-1547436.75,0.538495597045104,0.5674393198113883,0.5690678983625418,0.4909840658621923,0.51,0.51,-0.0580020497924382,0.0322371072253281,0.0719258877827299,0.1758511661976164,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-04-04,0.53,0.53,0.53,0.53,0.0,0.0,15000,7950,0.57,0.45,0.38,47.16,0.57,0.01,0.04,-0.03,-1508090.1000000238,0.5356637313634027,0.5606321707547722,0.5653471461375378,0.4925141024950475,0.5108,0.5104,0.0,0.0295744325386377,0.0640832791503929,0.1747278934077051,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-04-07,0.53,0.54,0.54,0.53,0.0,0.0,295000,159250,0.56,0.46,0.38,47.16,0.48,0.01,0.03,-0.03,-1412743.449999988,0.5337758209089352,0.5550626851629954,0.5619807512672961,0.4939841376913202,0.511568,0.5107919999999999,0.0,0.0279755082224484,0.0497102716861578,0.1732588013490178,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-04-17,0.55,0.55,0.55,0.55,0.02,3.77,867522,477137,0.55,0.46,0.38,50.22,0.45,0.01,0.03,-0.02,-495287.85000002384,0.5391838806059568,0.5541421969515417,0.5608397273370774,0.4961808381740135,0.51327392,0.5116682399999999,-0.2517362834046355,0.0273306477442914,0.0371782493162701,0.1718120710401411,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-04-23,0.52,0.53,0.53,0.52,-0.03,-5.45,2713,1421,0.54,0.47,0.38,45.92,0.45,0.0,0.02,-0.02,-447931.60000002384,0.5327892537373046,0.5479345247785341,0.556950229495451,0.4971149229515032,0.5162120064000001,0.5132015103999998,0.0007892412356991,0.0275444629414911,0.034464152068175,0.1701567104831585,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell,Sell,Sell,Monitor-Monitor,Monitor-Monitor
2024-04-25,0.51,0.53,0.53,0.51,-0.01,-1.92,4000,2043,0.53,0.47,0.38,44.55,0.3,0.0,0.02,-0.02,-271662.35000002384,0.5251928358248698,0.5410373384551642,0.5524787790673129,0.49762022009066,0.55,0.55,0.0011636343630216,0.0269453464436954,0.0278886675511451,0.1683048740002658,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Buy,Sell,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor
2024-04-30,0.49,0.49,0.49,0.49,-0.02,-3.92,250000,122500,0.52,0.48,0.38,41.86,0.3,-0.0,0.02,-0.02,-334847.9499999881,0.5134618905499132,0.5317578223724071,0.5465284191561403,0.4973213879302419,0.55,0.55,0.0727263014212331,0.0263981746248448,0.0166332999331816,0.1660205298345089,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Buy,Sell,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor
2024-05-06,0.51,0.51,0.51,0.51,0.02,4.08,1000000,510000,0.52,0.48,0.38,45.41,0.27,-0.01,0.01,-0.02,802216.4499999881,0.5123079270332755,0.5278018546683331,0.5430495220936508,0.4978185884035658,0.49,0.49,-0.2906937948395027,0.0258977901707956,0.0166332999331816,0.1636427168422434,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Buy-Hold,Buy,Buy,Monitor-Monitor,Monitor-Monitor
2024-05-08,0.51,0.53,0.53,0.51,0.0,0.0,779440,411514,0.52,0.49,0.38,45.41,0.19,-0.01,0.01,-0.01,934780.6499999762,0.5115386180221837,0.5245651538195453,0.5399019485609221,0.4982962908191122,0.49,0.49,0.0,0.0254396451482783,0.0166332999331816,0.1613494116910925,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-05-14,0.45,0.45,0.45,0.45,-0.06,-11.76,4248393,1911777,0.51,0.49,0.38,37.46,0.14,-0.01,0.0,-0.02,-2999483.149999976,0.4910257453481225,0.5110078531250825,0.5313398582217866,0.4964023186301274,0.49,0.49,1.2385819640530649,0.0281076400518238,0.0275075747143796,0.1589681010229963,Hold,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Buy,Hold,Monitor-Monitor,Buy,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell,Monitor-Monitor,Sell,Sell,Sell,Buy,Monitor-Monitor
